input,n_elements,n_seeds,schedule_label,initial_temp,cooling_factor,mean_final_energy,zero_energy_runs,selection_method
tesis_like_12.in,12,100,bombelli_defaults,100.0,0.9,22.735,0/100,intuition
tesis_like_12.in,12,100,tuned,180.0,0.8,0.000,95/100,empirical_grid_scan
