schedule,seed,block,temperature,eave,final_energy,escaped
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,13,28.2429536481,45.5295240505,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,14,25.4186582833,51.7428516638,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,15,22.876792455,46.3389583895,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,16,20.5891132095,40.2775318806,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,17,18.5302018885,45.2833378385,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,18,16.6771816997,41.902552101,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,19,15.0094635297,35.7231318673,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,20,13.5085171767,40.4357139054,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,21,12.1576654591,38.8367225386,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,22,10.9418989132,40.8432842422,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,23,9.84770902184,37.6957723714,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,24,8.86293811965,38.551585029,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,25,7.97664430769,43.0687067428,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,26,7.17897987692,28.2131518739,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,27,6.46108188923,33.4080875558,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,28,5.8149737003,27.0838753862,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,29,5.23347633027,33.585756308,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,30,4.71012869725,28.5086527039,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,31,4.23911582752,23.8468542536,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,32,3.81520424477,28.7265798225,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,33,3.43368382029,29.6166713979,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,34,3.09031543826,25.0239655675,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1960,35,2.78128389444,21.5925258077,14.6982233847,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,1,100,51.3449397958,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,2,90,46.963883905,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,3,81,38.0795437684,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,4,72.9,40.561995095,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,5,65.61,45.6603917467,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,6,59.049,45.7790737991,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,7,53.1441,50.1174955214,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,8,47.82969,41.003476325,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,9,43.046721,40.331523363,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,10,38.7420489,50.4235091827,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,11,34.86784401,39.09820771,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,12,31.381059609,51.659048042,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,13,28.2429536481,39.4017255251,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,14,25.4186582833,43.7669624106,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,15,22.876792455,42.0365735905,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,16,20.5891132095,44.9532273895,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,17,18.5302018885,42.0938517906,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,18,16.6771816997,42.0206658847,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,19,15.0094635297,40.4655446341,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,20,13.5085171767,37.6702381831,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,21,12.1576654591,44.0456087445,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,22,10.9418989132,38.1332788882,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,23,9.84770902184,38.1126328828,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,24,8.86293811965,38.9259363461,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,25,7.97664430769,30.8135379759,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,26,7.17897987692,34.4488219654,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,27,6.46108188923,33.2790302897,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,28,5.8149737003,27.1030562244,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,29,5.23347633027,30.0780568264,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,30,4.71012869725,29.1412110138,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,31,4.23911582752,31.9260243445,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,32,3.81520424477,23.7413931138,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,33,3.43368382029,22.6907362459,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,34,3.09031543826,26.3353045625,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1961,35,2.78128389444,22.006518625,15.7609113388,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,1,100,41.3962251422,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,2,90,39.6285036921,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,3,81,41.4549377241,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,4,72.9,42.7572733062,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,5,65.61,46.2388329514,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,6,59.049,49.035877673,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,7,53.1441,45.1654910541,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,8,47.82969,37.2816269558,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,9,43.046721,50.73043455,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,10,38.7420489,43.3760886394,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,11,34.86784401,41.2802746843,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,12,31.381059609,40.9859531075,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,13,28.2429536481,47.7018512205,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,14,25.4186582833,47.3261910254,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,15,22.876792455,39.9875426169,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,16,20.5891132095,48.8882689077,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,17,18.5302018885,42.5098022395,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,18,16.6771816997,36.2083817667,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,19,15.0094635297,41.4306007117,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,20,13.5085171767,44.5747064972,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,21,12.1576654591,37.9700946702,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,22,10.9418989132,36.6768299924,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,23,9.84770902184,38.4407621668,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,24,8.86293811965,34.7879692021,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,25,7.97664430769,32.1477880748,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,26,7.17897987692,36.7305034859,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,27,6.46108188923,30.4216314504,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,28,5.8149737003,33.9786755791,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,29,5.23347633027,29.8289992419,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,30,4.71012869725,31.9492665005,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,31,4.23911582752,29.2726799246,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,32,3.81520424477,27.030085054,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,33,3.43368382029,18.6695137022,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,34,3.09031543826,23.7307265356,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1962,35,2.78128389444,20.23183348,25.7912414078,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,1,100,44.6873622294,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,2,90,36.6581695049,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,3,81,47.7881655387,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,4,72.9,52.4785039332,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,5,65.61,45.0482353017,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,6,59.049,48.4136001015,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,7,53.1441,42.4760676255,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,8,47.82969,45.9200147217,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,9,43.046721,43.4689049781,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,10,38.7420489,42.4252552842,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,11,34.86784401,46.5906267673,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,12,31.381059609,41.5424691143,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,13,28.2429536481,38.1137434359,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,14,25.4186582833,44.6192669855,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,15,22.876792455,46.4380412502,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,16,20.5891132095,40.9927914339,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,17,18.5302018885,40.5944415987,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,18,16.6771816997,42.7601111328,42.1094107033,0
